
347.89,-317.35,1.31,0.00,0.00,0.00,7.06,0.09,-7.62,-3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.42,-2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,-1.55,4.34,-3.39,8.40,-5.09,12.52,-6.66,16.69,-8.08,20.90,-9.36,25.01,-10.46,27.89,-11.15,31.53,-11.92,34.81,-12.52,38.55,-13.10,41.70,-13.50,45.15,-13.85,48.79,-14.11,-1.18,-4.71,2.93,-6.60,7.10,-8.35,11.33,-9.95,15.61,-11.41,19.94,-12.73,24.16,-13.86,27.11,-14.56,30.86,-15.35,34.23,-15.97,38.07,-16.56,41.30,-16.97,44.85,-17.33,48.58,-17.61,0.18,-1.48,4.18,-3.32,8.24,-5.03,12.36,-6.60,16.52,-8.03,20.74,-9.32,24.99,-10.46,29.28,-11.46,33.60,-12.31,37.95,-13.01,42.32,-13.57,46.71,-13.97,51.11,-14.23,55.51,-14.34,-5.90,-14.09,-1.47,-16.13,3.03,-18.03,7.59,-19.76,12.21,-21.35,16.88,-22.77,21.59,-24.04,26.34,-25.14,31.13,-26.09,35.95,-26.87,40.79,-27.48,45.65,-27.93,50.53,-28.22,55.40,-28.34

231.47,-371.18,-0.30,0.00,0.00,0.00,6.21,0.19,19.41,9.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.75,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,1.99,5.17,3.47,9.95,4.94,14.73,6.42,19.37,7.86,23.76,9.36,28.10,11.02,32.38,12.81,36.60,14.75,40.75,16.84,44.82,19.06,48.82,21.42,52.74,23.92,56.57,26.55,1.42,-1.35,6.20,0.12,10.98,1.60,15.76,3.07,20.44,4.53,24.95,6.07,29.40,7.77,33.79,9.61,38.12,11.60,42.37,13.74,46.55,16.02,50.65,18.44,54.67,21.00,58.59,23.69,-1.53,8.73,3.25,10.20,8.02,11.68,12.80,13.15,17.34,14.56,21.50,15.99,25.62,17.56,29.68,19.27,33.68,21.12,37.61,23.10,41.48,25.21,45.27,27.46,48.98,29.83,52.61,32.32,2.60,-4.65,7.37,-3.18,12.15,-1.70,16.93,-0.23,21.66,1.25,26.27,2.83,30.83,4.57,35.33,6.46,39.76,8.51,44.12,10.70,48.40,13.05,52.60,15.53,56.72,18.16,60.74,20.92

251.65,-371.39,0.00,0.00,0.00,0.00,7.02,0.05,16.35,4.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,1.91,5.76,2.04,10.39,2.33,15.01,2.77,19.62,3.37,24.20,4.13,28.75,5.04,33.27,6.11,37.75,7.33,42.19,8.70,46.57,10.22,50.91,11.89,55.18,13.70,59.39,15.66,1.15,-1.59,5.91,-1.46,10.67,-1.16,15.41,-0.71,20.13,-0.09,24.83,0.69,29.50,1.62,34.13,2.71,38.73,3.97,43.28,5.37,47.78,6.93,52.22,8.64,56.60,10.50,60.92,12.51,0.79,8.91,5.19,9.02,9.59,9.28,13.98,9.70,18.35,10.26,22.69,10.97,27.02,11.83,31.31,12.83,35.56,13.98,39.77,15.27,43.94,16.71,48.05,18.28,52.11,20.00,56.11,21.85,0.92,-5.09,5.80,-4.97,10.67,-4.67,15.53,-4.22,20.37,-3.59,25.19,-2.81,29.97,-1.86,34.73,-0.75,39.44,0.53,44.10,1.96,48.72,3.55,53.28,5.29,57.77,7.19,62.20,9.24

272.72,-369.67,0.15,0.00,0.00,0.00,7.06,0.08,10.94,4.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.87,5.79,2.01,10.42,2.30,15.04,2.75,19.64,3.36,24.22,4.12,28.78,5.04,33.29,6.11,37.77,7.33,42.21,8.71,46.59,10.24,50.44,11.72,54.27,13.32,57.84,14.94,1.19,-1.63,5.95,-1.49,10.70,-1.19,15.44,-0.73,20.16,-0.10,24.86,0.68,29.53,1.62,34.16,2.72,38.75,3.97,43.30,5.39,47.80,6.95,51.75,8.47,55.67,10.12,59.33,11.78,0.66,8.87,5.07,8.98,9.46,9.25,13.85,9.66,18.22,10.22,22.57,10.93,26.89,11.79,31.18,12.79,35.43,13.94,39.64,15.24,43.81,16.67,47.92,18.25,51.98,19.96,55.98,21.81,0.79,-5.13,5.67,-5.00,10.54,-4.71,15.40,-4.25,20.24,-3.63,25.06,-2.84,29.85,-1.89,34.60,-0.78,39.31,0.49,43.98,1.92,48.59,3.51,53.15,5.26,57.65,7.16,62.08,9.21

293.30,-364.75,0.30,0.00,0.00,0.00,7.06,0.08,4.80,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.83,5.78,1.96,10.41,2.26,15.04,2.71,19.64,3.32,24.22,4.09,28.77,5.01,32.51,5.88,36.36,6.90,40.09,8.01,44.10,9.33,47.98,10.73,51.93,12.31,55.60,13.90,1.18,-1.67,5.94,-1.53,10.70,-1.23,15.44,-0.77,20.16,-0.14,24.85,0.64,29.52,1.59,33.35,2.49,37.31,3.53,41.14,4.67,45.24,6.02,49.22,7.46,53.27,9.07,57.04,10.71,0.79,8.82,5.19,8.94,9.59,9.22,13.97,9.64,18.34,10.20,22.69,10.92,27.01,11.79,31.30,12.80,35.55,13.95,39.76,15.25,43.92,16.69,48.03,18.27,52.09,19.99,56.08,21.85,0.94,-5.18,5.82,-5.04,10.69,-4.74,15.55,-4.28,20.39,-3.65,25.20,-2.85,29.99,-1.89,34.74,-0.77,39.45,0.51,44.11,1.95,48.73,3.54,53.28,5.29,57.77,7.20,62.20,9.26

